name,type,
Sangria,brandy and wine,
Sazerac,whiskey,
Scarlet O'Hara,Southern Comfort,
Scorpion,brandy and rum,
Scotch & Soda,whiskey,
Scotch Sour,whiskey,
Screwdriver,vodka,
Sea Breeze,vodka,
Seven and Seven,whiskey,
Sex on the Beach,vodka,
Shandy,beer,
Sherry Cobbler,sherry,
Sidecar,brandy or whiskey,
Singapore Sling,gin,
Sloe Screw,sloe gin,
Smith & Kearns,coffee or chocolate liqueur, or add vodka,
Smoky Martini,gin and whiskey,
Sneaky Pete,whiskey,
Sombrero,coffee liqueur or brandy,
Strawberry Daiquiri,rum,
Strawberry Gin & Tonic,gin,
Strawberry Margarita,tequila,
Surfer on Acid,rum,
Sabai Sabai,Mekhong,
Sage Lady,vodka,
Salted Caramel Rocky Road,vodka,
Sapphire Alpine,gin,
Sapphire Martini,gin,
Saratoga Cocktail,brandy,
Satan's Whiskers,gin,
Screaming Viking,vodka,
Shamrocker,tequila,
Shamrock Shaker,Kahlua,
Shiso Mojito,rum,
Showstopper,vodka,
Silk Stocking,tequila,
Silver Sangria,gin,
Skeleton Key,whiskey,
Skeletons in Your Closet,tequila,
Ski Lift,rum,
Smoked Rose,whiskey,
Snickertini,vodka,
Snow Ball,brandy,
Snow Honey,brandy,
Snowshoe Grog,whiskey,
Soho,gin,
Something Blue
Somrus Fizz,gin,
Soul Kiss,whiskey,
Sour Patch Margarita,tequila,
Sour Sunrise,whiskey,
Spanish Harlem,tequila,
Sparkling Acai Sangria,VeeV,
Sparkling Shamrock,vodka,
Speranza,vodka,
Spiced Passion,tequila,
Spiced Pear Caipirini,rum,
Spiced Pumpkin,vodka,
Spiced Pumpkin Martini,vodka,
Spiced Silver Bell,tequila,
Spicy Paloma,tequila,
Spider's Kiss,vodka,
Star Cocktail,brandy,
Steelers Cider,whiskey,
Stinger,brandy,
Stone Sour,brandy,
Stone Wall,whiskey,
Strawberry Berryoska,vodka,
Strawberry Cure,strawberry liqueur,
Strawberry Kiss,rum,
Summer Breeze,whiskey,
Summer Tea,rum,
Summertime Fruit Punch Lemonade,vodka,
Surprised Cocktail,rum,
Swamp Water Surprise,rum,
Sweaty Hipster,tequila,
Sweet Heat,vodka,
Sweet Meat,whiskey,
Tamarind & Tequila,tequila,
Tamarind Margarita,tequila,
Tamarind-Pineapple Margarita,tequila,
Tequila Sunrise,tequila,
Tequini,tequila,
Thanksgiving Cocktail,gin,
Toasted Almond,amaretto,
Tom and Jerry,rum,
Tom Collins,gin,
Triple Espresso Martini,vodka,
Talking Monkey,vodka,
Tangerine Margarita,tequila,
Tanqueray Almond,gin,
Tea Tini,vodka,
Tequila Sunrise Margarita,tequila,
Tequiliano,tequila,
Texas Farm Nog,tequila,
Texas Tea,rum, tequila, vodka and whiskey,
Thanksgiving Cider,vodka,
Tickled Pink,Champagne,
Toffee Apple,vodka,
Tomojito,vodka,
Tornado,rum, tequila, vodka and whiskey,
Tornado Cocktail,rum,
Trojan Horse,beer,
Trophy Margarita,tequila,
Tully 10 Cider,whiskey,
Tully Tea,whiskey,
Tuscan Pear,vodka,
Tuxedo Cocktail,gin,
Twentieth Century,gin,
Twist & Shout,rum,
UK Sour,whiskey,
Union Square,gin,
UV Liberty,vodka,
UV Pink Flamingo,vodka,
Vermouth Cassis,vermouth,
Vesper Martini,gin and vodka,
Vieux Carre,whiskey,
Vodka Collins,vodka,
Vodka Martini,vodka,
Vodka Red Bull,vodka,
Vodka Tonic,vodka,
Valencia Cocktail,No. 1 & 2,,brandy,
Vampire Kiss Martini,vodka,
Vampire's Kiss,vodka,
Vanilla Latte,vodka,
Vanilla Rose,vodka,
VeeV Treetini,VeeV,
Vegan Eggnog,rum or brandy,
Velvet Hammer,Cointreau and Tia Maria,
Vertigo,Averna,
Very Berry Cosmo,vodka,
Victoria's Secret,vodka,
Vodka Lemon Sorbet,vodka,
Ward Eight,whiskey,
Wasabi Martini,vodka,
Washington Apple,whiskey,
Wassail,brandy or rum,
Watermelon Margarita,tequila,
Whiskey Fizz,whiskey,
